id,title,director,actors,genre,description,year
4828,Rise of the Footsoldier,Julian Gilbey,"Ricci Harnett, Terry Stone, Craig Fairbrass, Roland Manookian, Coralie Rose, Neil Maskell, Billy Murray, Ian Virgo, Kierston Wareing, Patrick Regis, Lara Belmont, Emily Beecham, Andy Linden, Frank Harper, Jason Maza","Action, Biography, Crime",The life of career criminal Carlton Leach.,2007
4829,I Sell the Dead,Glenn McQuaid,"Dominic Monaghan, Larry Fessenden, Angus Scrimm, Ron Perlman, Brenda Cooney, John Speredakos, Daniel Manche, Eileen Colgan, James Godwin, Joel Marsh Garland, Aidan Redmond, Alisdair Stewart, Heather Bullock, Chris Shaw, Martin Pfefferkorn","Comedy, Horror",A grave robber reflects on his life of crime.,2008
4830,The Hobbit: An Unexpected Journey,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner, John Callen, Peter Hambleton, Jed Brophy, Mark Hadlow, Adam Brown","Adventure, Family, Fantasy","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",2012
4831,Julia,Erick Zonca,"Tilda Swinton, Saul Rubinek, Kate del Castillo, Aidan Gould, Jude Ciccolella, Bruno Bichir, Horacio Garcia Rojas, Mauricio Moreno, Gaston Peterson, Kevin Kilner, John Bellucci, Ezra Buzzington, Roger Cudney, Eugene Byrd, Sandro Kopp","Crime, Drama, Thriller","A woman tries to extort money, using a young boy as bait.",2008
4832,Love & Mercy,Bill Pohlad,"Paul Dano, John Cusack, Elizabeth Banks, Paul Giamatti, Jake Abel, Kenny Wormald, Brett Davern, Graham Rogers, Erin Darke, Bill Camp, Joanna Going, Nick Gehlfuss, Mark Linett, Johnny Sneed, Gary Griffin","Biography, Drama, Music","In the 1960s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 1980s, he is a broken, confused man under the 24-hour watch of shady therapist Dr. Eugene Landy.",2014
4833,The Thing,Matthijs van Heijningen Jr.,"Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Eric Christian Olsen, Adewale Akinnuoye-Agbaje, Paul Braunstein, Trond Espen Seim, Kim Bubbs, Jørgen Langhelle, Jan Gunnar Røise, Stig Henrik Hoff, Kristofer Hivju, Jo Adrian Haavind, Carsten Bjørnlund, Jonathan Walker","Horror, Mystery, Sci-Fi","At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson.",2011
4834,Sukiyaki Western Django,Takashi Miike,"Hideaki Itô, Masanobu Andô, Kôichi Satô, Kaori Momoi, Yûsuke Iseya, Renji Ishibashi, Yoshino Kimura, Quentin Tarantino, Takaaki Ishibashi, Teruyuki Kagawa, Taigi Kobayashi, Yutaka Matsushige, Toshiyuki Nishida, Shun Oguri, Masato Sakai","Action, Western","A nameless gunfighter arrives in a town ripped apart by rival gangs and, though courted by both to join, chooses his own path.",2007
4835,Once,John Carney,"Glen Hansard, Markéta Irglová, Hugh Walsh, Gerard Hendrick, Alaistair Foley, Geoff Minogue, Bill Hodnett, Danuse Ktrestova, Darren Healy, Mal Whyte, Marcella Plunkett, Niall Cleary, Wiltold Owski, Krzysztos Tlotka, Tomek Glowacki","Drama, Music, Romance","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",2007
4836,Frequently Asked Questions About Time Travel,Gareth Carrivick,"Chris O'Dowd, Marc Wootton, Dean Lennox Kelly, Anna Faris, Meredith MacNeill, Ray Gardner, Nick Ewans, Arthur Nightingale","Comedy, Sci-Fi","While drinking at their local pub, three social outcasts attempt to navigate a time-travel conundrum.",2009
4837,Kirschblüten - Hanami,Doris Dörrie,"Elmar Wepper, Hannelore Elsner, Aya Irizuki, Maximilian Brückner, Nadja Uhl, Birgit Minichmayr, Felix Eitner, Floriane Daniel, Celine Tanneberger, Robert Döhlert, Tadashi Endo, Sarah Camp, Gerhard Wittmann, Veith von Fürstenberg, Walter Hess","Drama, Romance","After Rudi's wife Trudi suddenly dies, he travels to Japan to fulfill her dream of being a Butoh dancer.",2008
4838,In the Electric Mist,Bertrand Tavernier,"Tommy Lee Jones, John Goodman, Peter Sarsgaard, Mary Steenburgen, Kelly Macdonald, Justina Machado, Ned Beatty, James Gammon, Pruitt Taylor Vince, Levon Helm, Buddy Guy, Julio Cesar Cedillo, Bernard Hocke, John Sayles, Gary Grubbs","Crime, Drama, Mystery","A detective in post-Katrina New Orleans has a series of surreal encounters with a troop of friendly Confederate soldiers while investigating serial killings of local prostitutes, a 1965 lynching, and corrupt local businessmen.",2009
4839,Pineapple Express,David Gordon Green,"Seth Rogen, James Franco, Danny McBride, Kevin Corrigan, Craig Robinson, Gary Cole, Rosie Perez, Ed Begley Jr., Nora Dunn, Amber Heard, Joe Lo Truglio, Arthur Napiontek, Cleo King, Bill Hader, James Remar","Action, Comedy, Crime",A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.,2008
4840,WALL·E,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, MacInTalk, John Ratzenberger, Kathy Najimy, Sigourney Weaver, Teddy Newton, Bob Bergen, John Cygan, Pete Docter, Paul Eiding, Donald Fullilove, Teresa Ganzel","Animation, Adventure, Family","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",2008
4841,Los abrazos rotos,Pedro Almodóvar,"Penélope Cruz, Lluís Homar, Blanca Portillo, José Luis Gómez, Rubén Ochandiano, Tamar Novas, Ángela Molina, Chus Lampreave, Kiti Mánver, Lola Dueñas, Mariola Fuentes, Carmen Machi, Kira Miró, Rossy de Palma, Alejo Sauras","Drama, Romance, Thriller","Harry Caine, a blind writer, reaches this moment in time when he has to heal his wounds from 14 years back. He was then still known by his real name, Mateo Blanco, and directing his last movie.",2009
4842,Young People Fucking,Martin Gero,"Aaron Abrams, Carly Pope, Kristin Booth, Josh Dean, Sonja Bennett, Josh Cooke, Diora Baird, Callum Blue, Ennis Esmer, Peter Oldring, Natalie Lisinska","Comedy, Drama, Romance","On a Tuesday night, five couples have separate sexual adventures.",2007
4843,Tau ming chong,"Peter Ho-Sun Chan, Wai Man Yip","Jet Li, Andy Lau, Takeshi Kaneshiro, Jinglei Xu, Xiaodong Guo, Jacky Heung, Zongwan Wei, Pao-Ming Ku, Kuirong Wang, Bo Zhou, Zhaoqi Shi, Yachao Wang, Xiao Yun Wang, Peng Guo, Ailei Yu","Action, Drama, History","Set in China in the 1860's during the Taiping Rebellion, the story is based on the assassination of Ma Xinyi in 1870. Loyalist General Qingyun is the only survivor of a battle with ...",2007
4844,Bottle Shock,Randall Miller,"Chris Pine, Hal B. Klein, Alan Rickman, Jean-Michel Richaud, Dennis Farina, Bill Pullman, Kirk Baily, Freddy Rodríguez, Philippe Bergeron, Rachael Taylor, Louis Giambalvo, Greg Collins, Luis Saguar, James Hiser, Geoff Callan","Comedy, Drama","The story of the early days of California wine making featuring the now infamous, blind Paris wine tasting of 1976 that has come to be known as ""Judgment of Paris"".",2008
4845,The Boy in the Striped Pyjamas,Mark Herman,"Asa Butterfield, Zac Mattoon O'Brien, Domonkos Németh, Henry Kingsmill, Vera Farmiga, Cara Horgan, Zsuzsa Holl, Amber Beattie, László Áron, David Thewlis, Richard Johnson, Sheila Hancock, Charlie Baker, Iván Verebély, Béla Fesztbaum","Drama, War","Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",2008
4846,Unthinkable,Gregor Jordan,"Samuel L. Jackson, Carrie-Anne Moss, Michael Sheen, Stephen Root, Lora Kojovic, Martin Donovan, Gil Bellows, Vincent Laresca, Brandon Routh, Joshua Harto, Holmes Osborne, Michael Rose, Randy Oglesby, Benito Martinez, Sasha Roiz","Crime, Drama, Thriller",A psychological thriller centered around a black-ops interrogator and an F.B.I. Agent who press a suspect terrorist into divulging the location of three nuclear weapons set to detonate in the U.S.,2010
4847,Doubt,John Patrick Shanley,"Meryl Streep, Philip Seymour Hoffman, Amy Adams, Viola Davis, Alice Drummond, Audrie Neenan, Susan Blommaert, Carrie Preston, John Costelloe, Lloyd Clay Brown, Joseph Foster, Mike Roukis, Haklar Dezso, Frank Shanley, Robert Ridgell","Drama, Mystery",A Catholic school principal questions a priest's ambiguous relationship with a troubled young student.,2008
4848,The Legend of Tarzan,David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz, Samuel L. Jackson, Margot Robbie, Sidney Ralitsoele, Osy Ikhile, Mens-Sana Tamakloe, Antony Acheampong, Edward Apeagyei, Ashley Byam, Casper Crump, Adam Ganne, Aleksandar Mikic","Action, Adventure, Drama","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2016
4849,Flammen & Citronen,Ole Christian Madsen,"Thure Lindhardt, Mads Mikkelsen, Stine Stengade, Peter Mygind, Mille Lehfeldt, Christian Berkel, Hanns Zischler, Claus Riis Østergaard, Flemming Enevold, Lars Mikkelsen, Jesper Christensen, Lærke Winther, Peter Plaugborg, Martin Hestbæk, Thomas Voss","Action, Drama, History",A drama centered on two fighters in the Holger Danske World War II resistance group.,2008
4850,Un baiser s'il vous plaît,Emmanuel Mouret,"Virginie Ledoyen, Emmanuel Mouret, Julie Gayet, Michaël Cohen, Stefano Accorsi, Frédérique Bel, Mélanie Maudran, Marie Madinier, Lucciana de Vogüe, Jacques Lafoly, François Aubineau, Camille Rince, Cédric Naimi, Léopold Simalty, Nathalie Bizot","Comedy, Romance","When Gabriel and Emilie meet by chance, he offers her a ride, and they spend the evening talking, laughing and getting along famously. At the end of the night, Emilie declines Gabriel's ...",2007
4851,Baghead,"Jay Duplass, Mark Duplass","Steve Zissis, Ross Partridge, Greta Gerwig, Elise Muller, Jett Garner, Cass Naumann, Jennifer Lafleur, Darrell Bryant, Anthony Cristo, Jen Tracy, Heather Hall, David Zellner","Comedy, Drama, Horror","4 ""actors"" go to a cabin in the woods for the weekend to write a movie script. They talk about a relationship movie or a paper bag over the head movie. It starts with an anonymous baghead and slowly escalates.",2008
4852,Evangelion Shin Gekijôban: Jo,"Masayuki, Kazuya Tsurumaki","Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Yuriko Yamaguchi, Akira Ishida, Fumihiko Tachiki, Motomu Kiyokawa, Miki Nagasawa, Takehito Koyasu, Hiro Yûki, Tomokazu Seki, Tetsuya Iwanaga, Junko Iwao, Mugihito, Akiko Hiramatsu","Animation, Action, Drama",The fate of the world is threatened by seemingly monstrous entities known as Angels. NERV is an organisation set up to counter this threat and it is up to young pilots to protect Earth but exactly what are the real motives behind NERV?,2007
4853,Crossing Over,Wayne Kramer,"Harrison Ford, Ray Liotta, Ashley Judd, Jim Sturgess, Cliff Curtis, Alice Braga, Alice Eve, Summer Bishil, Jacqueline Obradors, Justin Chon, Melody Zara, Merik Tadros, Marshall Manesh, Nina Nayebi, Naila Azad","Crime, Drama",Crossing Over is about illegal aliens of many nationalities in the Los Angeles area and the authorities and individuals dealing with them.,2009
4854,Harry Potter and the Deathly Hallows: Part 1,David Yates,"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling, Daniel Radcliffe, Julie Walters, Bonnie Wright, Rupert Grint, Ian Kelly, Michelle Fairley, Fiona Shaw, Alan Rickman, Carolyn Pickles, Ralph Fiennes, Helena Bonham Carter","Adventure, Family, Fantasy","As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",2010
4855,Loft,Erik Van Looy,"Koen De Bouw, Filip Peeters, Matthias Schoenaerts, Bruno Vanden Broecke, Koen De Graeve, Veerle Baetens, Tine Reymer, An Miller, Charlotte Vandermeersch, Wine Dierickx, Maaike Cafmeyer, Marie Vinck, Jan Decleir, Gene Bervoets, Sara de Roo","Crime, Drama, Mystery","Five close friends, all of them married, share a loft to meet their mistresses. One day they find the body of a young woman in the loft. Since there are only five keys to the loft, the five men begin to suspect each other of murder.",2008
4856,Gomorra,Matteo Garrone,"Salvatore Abbruzzese, Simone Sacchettino, Salvatore Ruocco, Vincenzo Fabricino, Vincenzo Altamura, Italo Renda, Francesco Pirozzi, Antonio Aiello, Vincenzo Caso, Anna Sarnelli, Salvatore Russo, Antonio Spina, Francesco Paesano, Marco Stanchi, Armando Irace","Crime, Drama","Scampia Vele is the corbusian architecture which has become a stronghold for Mafia of Naples, Italy.",2008
4857,Precious,Lee Daniels,"Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey, Sherri Shepherd, Lenny Kravitz, Stephanie Andujar, Chyna Layne, Amina Robinson, Xosha Roquemore, Angelic Zambrana, Aunt Dot, Nealla Gordon, Grace Hightower, Barret Helms",Drama,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction.",2009
4858,Rabbit Hole,John Cameron Mitchell,"Nicole Kidman, Aaron Eckhart, Dianne Wiest, Miles Teller, Tammy Blanchard, Sandra Oh, Giancarlo Esposito, Jon Tenney, Stephen Mailer, Mike Doyle, Roberta Wallach, Patricia Kalember, Ali Marsh, Yetta Gottesman, Colin Mitchell",Drama,Life for a happy couple is turned upside down after their young son dies in an accident.,2010
4859,Taken,Pierre Morel,"Liam Neeson, Maggie Grace, Leland Orser, Jon Gries, David Warshofsky, Holly Valance, Katie Cassidy, Xander Berkeley, Olivier Rabourdin, Gérard Watkins, Famke Janssen, Marc Amyot, Arben Bajraktaraj, Radivoje Bukvic, Mathieu Busson","Action, Thriller","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",2008
4860,This Christmas,Preston A. Whitmore II,"Delroy Lindo, Idris Elba, Loretta Devine, Chris Brown, Keith Robinson, Laz Alonso, Columbus Short, Sharon Leal, Lauren London, Lupe Ontiveros, Jessica Stroup, Mekhi Phifer, Regina King, David Banner, Ricky Harris","Comedy, Drama, Romance",A Christmastime drama centered around the Whitfield family's first holiday together in four years.,2007
4861,Tokyo Sonata,Kiyoshi Kurosawa,"Teruyuki Kagawa, Kyôko Koizumi, Yû Koyanagi, Kai Inowaki, Haruka Igawa, Kanji Tsuda, Kazuya Kojima, Kôji Yakusho, Faisal Ahmed, Denden, Jason Gray, Hajime Inoue, Masayuki Ito, Kenji Kawahara, Toshiyuki Kitami",Drama,An ordinary Japanese family slowly disintegrates after its patriarch loses his job at a prominent company.,2008
4862,Brick Lane,Sarah Gavron,"Tannishtha Chatterjee, Satish Kaushik, Christopher Simpson, Naeema Begum, Lana Rahman, Lalita Ahmed, Harvey Virdi, Zafreen, Harsh Nayyar, Abdul Nlephaz Ali, Bijal Chandaria, Mohammed Ahsan, Josh Ali, Raha Ahmed, Abed Hakim",Drama,"A young Bangladeshi woman, Nazneen, arrives in 1980s London, leaving behind her beloved sister and home, for an arranged marriage and a new life. Trapped within the four walls of her flat ...",2007
4863,Cheung gong 7 hou,Stephen Chow,"Stephen Chow, Jiao Xu, Lei Huang, Yuqi Zhang, Tze Chung Lam, Sheung-ching Lee, Wen Xue Yao, Min-Hun Fung, Yong Hua Han, Yu Lei, Zhong You Jin, Qian Lin Hu, Yi Ying Cheng, Yi Jia Lao, Hao Yang","Comedy, Drama, Family",A poor Chinese laborer learns important lessons after his son gets a strange new toy.,2008
4864,Shelter,Jonah Markowitz,"Trevor Wright, Brad Rowe, Tina Holmes, Jackson Wurth, Katie Walder, Matt Bushell, Ross Thomas, Albert Reed, Joy Gohring, Don Margolin, Alejandro Patiño, Caitlin Crosby, Alicia Sixtos, Tarek Zohdy, Robbi Chong","Drama, Romance, Sport","When his college dreams are sidelined by family obligations, a young man finds comfort in surfing with his best friend's brother.",2007
4865,Tropic Thunder,Ben Stiller,"Jeff Kahn, Robert Downey Jr., Anthony Ruivivar, Jack Black, Jay Baruchel, Brandon T. Jackson, Ben Stiller, Eric Winzenried, Steve Coogan, Valerie Azlynn, Matt Levin, David Pressman, Amy Stiller, Danny McBride, Dempsey Silva","Action, Comedy, War","Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.",2008
4866,Chasseurs de dragons,"Guillaume Ivernel, Arthur Qwak","Vincent Lindon, Patrick Timsit, Philippe Nahon, Amanda Lear, Marie Drion, Jeremy Prevost, Jean-Marc Lentretien, John DiMaggio, Elias Eliot, Jess Harnell, Nick Jameson, Mary Mouser, Rob Paulsen, Forest Whitaker, Dave Wittenberg","Animation, Action, Adventure",A fantastic tale telling the adventures of two dragon hunters!,2008
4867,Salt,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski, August Diehl, Daniel Pearce, Hunt Block, Andre Braugher, Olek Krupa, Cassidy Hinkle, Corey Stoll, Vladislav Koulikov, Olya Zueva, Kevin O'Donnell, Gaius Charles","Action, Mystery, Thriller",A CIA agent goes on the run after a defector accuses her of being a Russian spy.,2010
4868,Source Code,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright, Michael Arden, Cas Anvar, Russell Peters, Brent Skagford, Craig Thomas, Gordon Masten, Susan Bain, Paula Jean Hixson, Lincoln Ward, Kyle Gatehouse, Albert Kwan","Action, Drama, Mystery",A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,2011
4869,Black Swan,Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey, Winona Ryder, Benjamin Millepied, Ksenia Solo, Kristina Anapau, Janet Montgomery, Sebastian Stan, Toby Hemingway, Sergio Torrado, Mark Margolis, Tina Sloan, Abraham Aronofsky","Drama, Thriller","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",2010
4870,Lakeview Terrace,Neil LaBute,"Samuel L. Jackson, Patrick Wilson, Kerry Washington, Ron Glass, Justin Chambers, Jay Hernandez, Regine Nehy, Jaishon Fisher, Robert Pine, Keith Loneker, Caleeb Pinkett, Robert Dahey, Ho-Jung, Dallas Raines, Michael Tighe","Crime, Drama, Thriller","Based on a true story, a troubled and racist African-American L.A.P.D. Officer will stop at nothing to force out a friendly interracial couple who just moved in next door to him.",2008
4871,Green Zone,Paul Greengrass,"Igal Naor, Said Faraj, Faycal Attougui, Aymen Hamdouchi, Matt Damon, Nicoye Banks, Jerry Della Salla, Sean Huze, Michael J. Dwyer, Edouard H.R. Gluck, Brian Siefkes, Adam Wendling, Abdul Henderson, Paul Karsko, Robert Miller","Action, Drama, Thriller",Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.,2010
4872,The Amazing Spider-Man,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Martin Sheen, Sally Field, Irrfan Khan, Campbell Scott, Embeth Davidtz, Chris Zylka, Max Charles, C. Thomas Howell, Jake Keiffer, Kari Coleman, Michael Barra","Action, Sci-Fi","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",2012
4873,Aanrijding in Moscou,Christophe Van Rompaey,"Barbara Sarafian, Jurgen Delnaet, Johan Heldenbergh, Anemone Valcke, Sofia Ferri, Julian Borsani, Bob De Moor, Jits Van Belle, Griet van Damme, Lisa Buylaert, Yvonne Delcour, Thomas Dhanens, Camille Friant, Rania Gaaloul, Frederik Imbo","Comedy, Drama, Romance","Matty, a 41-year old mother of three with a husband in his midlife-crisis, meets 29-year old Johnny, a truck driver, who takes an interest in her.",2008
4874,Tuya de hun shi,Quan'an Wang,"Nan Yu, Ba'toer, Sen'ge, Bao'lier, Bao'erku, Zhaya, Ting Ting Ren","Drama, Romance","Set in Inner Mongolia, a physical setback causes a young woman to choose a suitor who can take care of her, as well as her disabled husband.",2006
4875,Shotgun Stories,Jeff Nichols,"Michael Shannon, Douglas Ligon, Barlow Jacobs, Michael Abbott Jr., Travis Smith, Lynnsee Provence, David Rhodes, Glenda Pannell, G. Alan Wilkins, Natalie Canerday, Coley Campany, Cole Hendrixson, Vivian Morrison, Tucker Prentiss, Wyatt Ashton Prentiss","Drama, Thriller","Shotgun Stories tracks a feud that erupts between two sets of half brothers following the death of their father. Set against the cotton fields and back roads of Southeast Arkansas, these ...",2007
4876,Ben X,Nic Balthazar,"Marijke Pinoy, Greg Timmermans, Cesar De Sutter, Gilles De Schryver, Bavo Smets, Katrien Pierlet, Rebecca Lenaerts, Maarten Claeyssens, Titus De Voogdt, Pol Goossen, Michel Bauwens, Koen De Sutter, Peter De Graef, An Van Gijsegem, Jakob Beks","Drama, Thriller","As an alternative to getting bullied at school, an autistic teenager retreats into the world of online role-playing games.",2007
4877,The Killer Inside Me,Michael Winterbottom,"Casey Affleck, Kate Hudson, Jessica Alba, Ned Beatty, Elias Koteas, Tom Bower, Simon Baker, Bill Pullman, Brent Briscoe, Matthew Maher, Liam Aiken, Jay R. Ferguson, Ali Nazary, Blake Lindsley, Zach Josse","Crime, Drama, Horror",A West Texas Deputy Sheriff is slowly unmasked as a psychotic killer.,2010
4878,The Yellow Handkerchief,Udayan Prasad,"William Hurt, Maria Bello, Kristen Stewart, Eddie Redmayne, Kaori Momoi, Emanuel Cohn, Nurith Cohn, Veronica Russell, Grover Coulson, Lisha Brock, Lucy Faust, John Gregory Willard, Rebecca Newman, Ross Britz, Marshall Cain","Drama, Romance",A road trip through Louisiana transforms three strangers who were originally brought together by their respective feelings of loneliness.,2008
4879,Robin Hood,Ridley Scott,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong, Oscar Isaac, Danny Huston, Eileen Atkins, Mark Addy, Matthew Macfadyen, Kevin Durand, Scott Grimes, Alan Doyle, Douglas Hodge, Léa Seydoux","Action, Drama, History","In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",2010
4880,Nights in Rodanthe,George C. Wolfe,"Richard Gere, Diane Lane, Christopher Meloni, Viola Davis, Becky Ann Baker, Scott Glenn, Linda Molloy, Pablo Schreiber, Mae Whitman, Charlie Tahan, Carolyn McCormick, Ted Manson, Ato Essandoh, Terri Denise Johnson, Jessica Lucas","Drama, Romance","A doctor, who is travelling to see his estranged son, sparks with an unhappily married woman at a North Carolina inn.",2008
4881,Revolutionary Road,Sam Mendes,"Kate Winslet, Leonardo DiCaprio, Christopher Fitzgerald, Jonathan Roumie, Neal Bledsoe, Marin Ireland, Samantha Soule, Heidi Armbruster, Sam Rosen, Maria Rusolo, Gena Oppenheim, Kathryn Dunn, Joe Komara, Allison Twyford, David Harbour","Drama, Romance",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,2008
4882,Bedtime Stories,Adam Shankman,"Adam Sandler, Keri Russell, Guy Pearce, Russell Brand, Richard Griffiths, Teresa Palmer, Lucy Lawless, Courteney Cox, Jonathan Morgan Heit, Laura Ann Kesling, Jonathan Pryce, Nick Swardson, Kathryn Joosten, Allen Covert, Carmen Electra","Comedy, Family, Fantasy",A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.,2008
4883,Keinohrhasen,Til Schweiger,"Til Schweiger, Nora Tschirner, Matthias Schweighöfer, Alwara Höfels, Jürgen Vogel, Rick Kavanian, Armin Rohde, Wolfgang Stumph, Christian Tramitz, Barbara Rudnik, Zora Holt, Gregor Bloéb, Nina Proll, Pasquale Aleardi, Sonsee Neu","Comedy, Romance","Rainbow press reporter Ludo is sentenced to 8 months, but is released on probation. But he has to work 300 hours for a local daycare center and meets Anna who has unfinished business with him.",2007
4884,Maria Larssons eviga ögonblick,Jan Troell,"Maria Heiskanen, Mikael Persbrandt, Jesper Christensen, Callin Öhrvall, Nellie Almgren, Birte Heribertson, Ghita Nørby, Amanda Ooms, Emil Jensen, Claire Wikholm, Ann Petrén, Antti Reini, Annika Lundgren, Maria Lundqvist, Hans Henrik Clemensen","Biography, Drama, History","In a time of social change and unrest, war and poverty, a young working class woman, Maria, wins a camera in a lottery. The decision to keep it alters her whole life.",2008
4885,Un monstre à Paris,Bibo Bergeron,"Matthieu Chedid, Vanessa Paradis, Gad Elmaleh, François Cluzet, Ludivine Sagnier, Julie Ferrier, Bruno Salomone, Sébastien Desjours, Philippe Peythieu, Bob Balaban, Paul Bandey, Jodi Forrest, David Gasman, Adam Goldberg, Matthew Géczy","Animation, Adventure, Comedy","A 3D-animated movie set in Paris in the year 1910 and centered on a monster who lives in a garden and his love for a beautiful, young singer.",2011
4886,Fireflies in the Garden,Dennis Lee,"Ryan Reynolds, Willem Dafoe, Emily Watson, Carrie-Anne Moss, Julia Roberts, Ioan Gruffudd, Hayden Panettiere, Shannon Lucio, Cayden Boyd, George Newbern, Chase Ellison, Brooklynn Proulx, Diane Perella, Natalie Karp, John C. Stennfeld",Drama,The Taylor family is devastated by an accident that takes place on the day their matriarch is due to graduate from college -- decades after leaving to raise her children.,2008
4887,The Escapist,Rupert Wyatt,"Brian Cox, Damian Lewis, Joseph Fiennes, Seu Jorge, Liam Cunningham, Dominic Cooper, Steven Mackintosh, Ned Dennehy, Vinnie McCabe, Jack Walsh, Frank O'Sullivan, Stephen Farrelly, Domhnall O'Donoghue, George Seremba, Eleanor McLynn","Crime, Drama, Thriller","Frank Perry is an institutionalized convict fourteen years into a life sentence without parole. When his estranged daughter falls ill, he is determined to make peace with her before it's ...",2008
4888,The Young Victoria,Jean-Marc Vallée,"Emily Blunt, Rupert Friend, Paul Bettany, Miranda Richardson, Jim Broadbent, Thomas Kretschmann, Mark Strong, Jesper Christensen, Harriet Walter, Jeanette Hain, Julian Glover, Michael Maloney, Michiel Huisman, Genevieve O'Reilly, Rachael Stirling","Biography, Drama, History","A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.",2009
4889,O' Horten,Bent Hamer,"Baard Owe, Espen Skjønberg, Ghita Nørby, Henny Moan, Bjørn Floberg, Kai Remlow, Per Jansen, Bjarte Hjelmeland, Gard B. Eidsvold, Bjørn Jenseg, Morten Rudå, Lars Øyno, Trond-Viggo Torgersen, Terje Alsvik Walløe, Peder Anders Lohne Hamer","Comedy, Drama",A drama focused on a life-changing moment in 67-year-old train engineer Odd Horten's existence: the evening of his retirement.,2007
4890,The International,Tom Tykwer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl, Ulrich Thomsen, Brían F. O'Byrne, Michel Voletti, Patrick Baladi, Jay Villiers, Fabrice Scott, Haluk Bilginer, Luca Barbareschi, Alessandro Fabrizi, Felix Solis, Jack McGee, Nilaja Sun","Action, Crime, Drama",An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.,2009
4891,Repo! The Genetic Opera,Darren Lynn Bousman,"Alexa PenaVega, Paul Sorvino, Anthony Head, Sarah Brightman, Paris Hilton, Bill Moseley, Kevin 'ohGr' Ogilvie, Terrance Zdunich, Sarah Power, Jessica Horn, Branko Lebar, Briana Buckmaster, Anna Kostan, Brad Austin, Marty Adams","Horror, Musical, Sci-Fi","A worldwide epidemic encourages a biotech company to launch an organ-financing program similar in nature to a standard car loan. The repossession clause is a killer, however.",2008
